PlotID,PlotCode,PlotViewID,TreeID,WD
40,CUZ-01,40,27683,0.588814718
40,CUZ-01,40,27684,0.616
40,CUZ-01,40,27685,0.503877778
40,CUZ-01,40,27686,0.387666667
40,CUZ-01,40,27687,0.618444444
40,CUZ-01,40,27688,0.465
40,CUZ-01,40,27689,0.465
40,CUZ-01,40,27690,0.618444444
40,CUZ-01,40,27691,0.515
40,CUZ-01,40,27692,0.736533333
40,CUZ-01,40,27693,0.618444444
40,CUZ-01,40,27694,0.350428571
40,CUZ-01,40,27695,0.5775
40,CUZ-01,40,27696,0.92275
40,CUZ-01,40,27697,0.657106481
40,CUZ-01,40,27698,0.515
40,CUZ-01,40,27699,0.657106481
40,CUZ-01,40,27700,0.465
40,CUZ-01,40,27701,0.68025
40,CUZ-01,40,27702,0.9
40,CUZ-01,40,27703,0.635
40,CUZ-01,40,27704,0.534375
40,CUZ-01,40,27705,0.326
40,CUZ-01,40,27706,0.319
40,CUZ-01,40,27707,0.672
40,CUZ-01,40,27708,0.490833333
40,CUZ-01,40,27709,0.490833333
40,CUZ-01,40,27710,0.503877778
40,CUZ-01,40,27711,0.640166667
40,CUZ-01,40,27712,0.657106481
40,CUZ-01,40,27713,0.63
40,CUZ-01,40,27714,0.657106481
40,CUZ-01,40,27715,0.6405
40,CUZ-01,40,27716,0.618444444
40,CUZ-01,40,27717,0.387666667
40,CUZ-01,40,27718,0.267
40,CUZ-01,40,27719,0.355666667
40,CUZ-01,40,27720,0.713
40,CUZ-01,40,27721,0.431
40,CUZ-01,40,27722,0.58
40,CUZ-01,40,27723,0.465
40,CUZ-01,40,27724,0.6
40,CUZ-01,40,27725,0.501055556
40,CUZ-01,40,27726,0.508
40,CUZ-01,40,27727,0.3115
40,CUZ-01,40,27728,0.736533333
40,CUZ-01,40,27729,0.267
40,CUZ-01,40,27730,0.7685
40,CUZ-01,40,27731,0.579328228
40,CUZ-01,40,27732,0.616
40,CUZ-01,40,27733,0.41
40,CUZ-01,40,27734,0.3115
40,CUZ-01,40,27735,0.3115
40,CUZ-01,40,27736,0.515
40,CUZ-01,40,27737,0.579328228
40,CUZ-01,40,27738,0.23
40,CUZ-01,40,27739,0.355666667
40,CUZ-01,40,27740,0.679730769
40,CUZ-01,40,27741,0.77
40,CUZ-01,40,27742,0.419833333
40,CUZ-01,40,27743,0.633333333
40,CUZ-01,40,27744,0.326
40,CUZ-01,40,27745,0.587
40,CUZ-01,40,27746,0.326
40,CUZ-01,40,27747,0.7685
40,CUZ-01,40,27748,0.6
40,CUZ-01,40,27749,0.712601476
40,CUZ-01,40,27750,0.6
40,CUZ-01,40,27751,0.266
40,CUZ-01,40,27752,0.559416987
40,CUZ-01,40,27753,0.5575
40,CUZ-01,40,27754,0.265
40,CUZ-01,40,27755,0.445375
40,CUZ-01,40,27756,0.49
40,CUZ-01,40,27757,0.503877778
40,CUZ-01,40,27758,0.335
40,CUZ-01,40,27759,0.724
40,CUZ-01,40,27760,0.724
40,CUZ-01,40,27761,0.51
40,CUZ-01,40,27762,0.494722222
40,CUZ-01,40,27763,0.9
40,CUZ-01,40,27764,0.58
40,CUZ-01,40,27765,0.5575
40,CUZ-01,40,27766,0.650875
40,CUZ-01,40,27767,0.679730769
40,CUZ-01,40,27768,0.387666667
40,CUZ-01,40,27769,0.335
40,CUZ-01,40,27770,0.49
40,CUZ-01,40,27771,0.618444444
40,CUZ-01,40,27772,0.665
40,CUZ-01,40,27773,0.672
40,CUZ-01,40,27774,0.542
40,CUZ-01,40,27775,0.515
40,CUZ-01,40,27776,0.618444444
40,CUZ-01,40,27777,0.465
40,CUZ-01,40,27778,0.618444444
40,CUZ-01,40,27779,0.665
40,CUZ-01,40,27780,0.7775
